Data Table for Daily Death Trends - California
Date generated: Tue Nov 30 2021 18:09:39 GMT-0700 (Mountain Standard Time)
State,Date,New Deaths,Total Doses Administered
California,Nov 29 2021,291,59597608
California,Nov 28 2021,0,59597578
California,Nov 27 2021,0,59557273
California,Nov 26 2021,0,59454021
California,Nov 25 2021,0,59312315
California,Nov 24 2021,151,59307912
California,Nov 23 2021,15,59113364
California,Nov 22 2021,199,58882202
California,Nov 21 2021,0,58659066
California,Nov 20 2021,0,58588908
California,Nov 19 2021,153,58437545
California,Nov 18 2021,129,58175281
California,Nov 17 2021,128,57953933
California,Nov 16 2021,20,57725113
California,Nov 15 2021,134,57500855
California,Nov 14 2021,0,57297429
California,Nov 13 2021,148,57228421
California,Nov 12 2021,0,57083344
California,Nov 11 2021,156,56828710
California,Nov 10 2021,134,56617368
California,Nov  9 2021,19,56394022
California,Nov  8 2021,127,56177530
California,Nov  7 2021,0,55978612
California,Nov  6 2021,0,55912985
California,Nov  5 2021,93,55786208
California,Nov  4 2021,113,55545436
California,Nov  3 2021,76,55348502
California,Nov  2 2021,38,55158583
California,Nov  1 2021,13,54968116
California,Oct 31 2021,0,54789231
California,Oct 30 2021,0,54738312
California,Oct 29 2021,111,54634727
California,Oct 28 2021,113,54413528
California,Oct 27 2021,113,54230469
California,Oct 26 2021,298,54046131
California,Oct 25 2021,0,53863617
California,Oct 24 2021,0,53699416
California,Oct 23 2021,0,53651725
California,Oct 22 2021,143,53558028
California,Oct 21 2021,148,53394191
California,Oct 20 2021,156,53297050
California,Oct 19 2021,21,53203342
California,Oct 18 2021,266,53106620
California,Oct 17 2021,0,53005343
California,Oct 16 2021,0,52974454
California,Oct 15 2021,140,52914235
California,Oct 14 2021,148,52786737
California,Oct 13 2021,106,52684427
California,Oct 12 2021,15,52583788
California,Oct 11 2021,234,52476957
California,Oct 10 2021,0,52369656
California,Oct  9 2021,0,52333908
California,Oct  8 2021,156,52267812
California,Oct  7 2021,167,52123319
California,Oct  6 2021,157,52004394
California,Oct  5 2021,0,51893559
California,Oct  4 2021,243,51780045
California,Oct  3 2021,0,51667246
California,Oct  2 2021,0,51628414
California,Oct  1 2021,126,51559270
California,Sep 30 2021,153,51411845
California,Sep 29 2021,130,51277401
California,Sep 28 2021,25,51146361
California,Sep 27 2021,275,51014288
California,Sep 26 2021,0,50893658
California,Sep 25 2021,0,50854152
California,Sep 24 2021,159,50781627
California,Sep 23 2021,154,50669457
California,Sep 22 2021,146,50594796
California,Sep 21 2021,16,50517503
California,Sep 20 2021,4,50439725
California,Sep 19 2021,125,50357601
California,Sep 18 2021,125,50324458
California,Sep 17 2021,171,50266884
California,Sep 16 2021,186,50168647
California,Sep 15 2021,188,50083979
California,Sep 14 2021,97,50001867
California,Sep 13 2021,15,49919060
California,Sep 12 2021,76,49831979
California,Sep 11 2021,203,49796135
California,Sep 10 2021,165,49732155
California,Sep  9 2021,201,49621618
California,Sep  8 2021,26,49529974
California,Sep  7 2021,40,49437625
California,Sep  6 2021,25,49337020
California,Sep  5 2021,158,49317564
California,Sep  4 2021,103,49278951
California,Sep  3 2021,119,49213831
California,Sep  2 2021,155,49093069
California,Sep  1 2021,143,48995388
California,Aug 31 2021,16,48894037
California,Aug 30 2021,28,48790842
California,Aug 29 2021,104,48686524
California,Aug 28 2021,106,48643359
California,Aug 27 2021,102,48564856
California,Aug 26 2021,129,48433373
California,Aug 25 2021,108,48326337
California,Aug 24 2021,17,48221071
California,Aug 23 2021,3,48112374
California,Aug 22 2021,89,48003728
